,rating,review,app,source
55,3,Would be helpful to have the option to cancel a request from the app as well as the ability to see why a ticket was closed. Otherwise it’s a useful app.,FindItFixIt,Apple
56,2,"Eventhough I add a location it keeps asking me for the location. Bugged so I can’t submit a request, no form online as an alternative to the mobile app…",FindItFixIt,Apple
57,1,I made a couple reports including a pothole report. It’s been over a year and the status of the reports never changes. The pothole did get fixed but since the status of the report is still ‘reported’ I’m guessing it had nothing to do with what I submitted. I’ve heard nothing on the other reports I filed.,FindItFixIt,Apple
58,1,City announces its going to start towing abandoned vehicles again. People report them en masse. City removes only mechanism to report them because the problem is worse than the city thought.,FindItFixIt,Apple
59,5,Can take parking enforcement a bit of time to get there but they eventually do.,FindItFixIt,Apple
60,3,"I have two pothole requests in at 25 days out, beyond the initial acknowledgement email I have heard nothing back, and have not seen anyone come out and do anything.",FindItFixIt,Apple
61,4,It's really nice to be able to report safety issues on the spot. Even nicer that problems are so quickly addressed. Keep up the good work!,FindItFixIt,Apple
62,2,"It's cool to be able to do this stuff from an iPhone app, but the app itself is hopelessly broken, infuriatingly slow, and horribly ugly.",FindItFixIt,Apple
63,1,This app uses the most battery on phone after latest update. Before this update the app worked fine and did not use so much of my phone battery.,FindItFixIt,Apple
64,1,Don’t bother. It’s a useless waste of space on your phone and time spent submitting requests. They just change your request status to “closed” and nothing happens. Completely useless. Good in theory though.,FindItFixIt,Apple
65,1,"This app allows the city to make you think they are listening to constituent issues. I have flagged 5 issues in the last year, all of which have been “closed” with no feedback, follow up or resolution. Good luck fending for yourselves, Seattle!",FindItFixIt,Apple
66,1,"This app is wonky and shoddily built. That said it would have some potential, however they have a built in feature which allows people to harass the homeless, many of which are disabled and/or veterans. I respectfully request this app be removed from the App Store.",FindItFixIt,Apple
67,1,"Great idea, but good luck getting the city of Seattle to ever do anything. From illegal dumping to potholes to cars blocking streets, every ticket I’ve submitted has been closed in minutes without any action taken.",FindItFixIt,Apple
68,1,There is a feature on this app where you can report “illegal encampments” so the people surviving off the very little they have can get everything taken away and fined by the city. This app is terrible and should not be used. Heartless.,FindItFixIt,Apple
69,1,App does not work. Says it needs location details to submit complaint even though they have been given.,FindItFixIt,Apple
70,1,"The feature to report homeless people is disgusting. I know the gentrification-planning must have you too tired to make real efforts to solve important issues, but this feature is inhumane. I’m not even from Seattle, I’m in Arizona but this is too infuriating.",FindItFixIt,Apple
71,4,"Thank you Mayor McGinn and whoever else helped on this. Great idea. Suggestion: add other categories, e.g. abandoned houses, alarming odors, other broken infrastructure, general questions...",FindItFixIt,Apple
72,4,I've had good luck with the city as they've filled all 3 potholes I've reported. I'm shocked!,FindItFixIt,Apple
73,1,I don't understand what the point of this app is. The city of Seattle has never followed up on anything I've reported through this app. One of the wealthiest cities in America and we can't even keep the roads properly paved. Embarrassing!,FindItFixIt,Apple
74,1,Can't set a location. Dialog pops up that tells me I can't submit the report until location is verified. I set it using the app! Which is useless since you can't submit.,FindItFixIt,Apple
75,1,"I thought Seattle was supposed to be this great city but this is horrendous. Taking houses from people who already have nothing. What a joke. If you don’t like the tent towns, maybe do something about the homeless population.",FindItFixIt,Apple
76,1,Sent a report and immediately received two notifications that it was closed!!!,FindItFixIt,Apple
77,1,"You can report parking violations all you like (and the interface for doing so is quite nice) but no parking enforcement officer will ever show up, so it’s completely pointless.",FindItFixIt,Apple
78,1,No reports issues are actually fixed. It’s the app equivalent of when you give a little kid a video game controller attached to nothing.,FindItFixIt,Apple
79,1,City called the case closed without removing the dirty sofa illegally dumped on my side walk! I don't think they look at those requests. Useless apps. Crashed and now I can't even open it...,FindItFixIt,Apple
80,2,Disappointed in the new logo. Looks amateur.,FindItFixIt,Apple
81,1,"Found a hazard, reported it. They “closed “it the next day(meaning they fixed it). Nope. Still there the next day, LAME! Deleted the app.",FindItFixIt,Apple
82,5,This is a great app for reporting homeless drug addicts that are squatting on our city streets.,FindItFixIt,Apple
83,1,Easy enough to use but the lack of response makes this app practically useless.,FindItFixIt,Apple
84,1,"After spending time filling out form, unable to submit. Completely useless and a waste of my time",FindItFixIt,Apple
85,1,App looks great at first but I've gotten no confirmation of my request and it's been a week and nothing has happened yet.,FindItFixIt,Apple
86,1,Don’t waste your time this app is nothing but show they don’t even fix the problems,FindItFixIt,Apple
87,1,"I only downloaded the app to report a homeless tent encampment that sprung up across the street. Never got a response from the City, they marked the case as “closed”, and yet the encampment remains.",FindItFixIt,Apple
88,1,Just constantly crashes when you try to open.,FindItFixIt,Apple
89,5,I've wanted this for awhile!,FindItFixIt,Apple
90,1,Requests for service are ignored. This app desperately needs oversight and accountability. Taxpayer dollars are being blatantly wasted on this app.,FindItFixIt,Apple
91,1,"Your tax dollars at work. Useless app with zero response. Months later, still useless.",FindItFixIt,Apple
92,1,It won’t open. It doesn’t work,FindItFixIt,Apple
93,1,Nothing reported is ever “fixed.” Just comes back “closed” with no help.,FindItFixIt,Apple
94,1,An app that could be otherwise VERY USEFUL but its being used to report innocent homeless people. Shameful,FindItFixIt,Apple
95,1,It is disgusting and downright depressing that this app is used to hurt those in need. Taking tents from those who are unfortunate or are victims is pure evil.,FindItFixIt,Apple
96,1,"the fun thing about this app, is that you can report a tent anywhere from anywhere! i hope the pigs enjoy going to aisle 7 at ikea every day, because i keep seeing a tent there!",FindItFixIt,Apple
97,1,Web browsers exist. Why do we need an app for such a narrow use?,FindItFixIt,Apple
98,1,"Download this app if you wanna be someone who snitches on homeless people for, you guessed it, being homeless.",FindItFixIt,Apple
99,1,"Vile app, made for a useless purpose. Also terrible UI.",FindItFixIt,Apple
100,1,Honestly the worst app. Don’t download. Save yourself,FindItFixIt,Apple
101,1,Reporting where homeless people are trying to live is disgusting.,FindItFixIt,Apple
102,1,Pretty dystopian that there is an app for privileged people with smartphones to report municipal violations that are largely the result of income inequality.,FindItFixIt,Apple
103,1,Reporting homeless people who are just trying to survive.. shameful.,FindItFixIt,Apple
104,1,Reporting the homeless should be a crime.,FindItFixIt,Apple
105,1,"By and large, my tickets are ignored. A closed ticket has no reason code, so I have no idea if there is a mitgating circumstance : for example - “we already have a ticket open for that pothole/dead animal/abandoned vehicle”. I like being able to report things, but the lake of transparency is vexing.",FindItFixIt,Apple
