rating,review
1,hope whoever made this drowns in manure
5,So I'm horrible and a fascist when I report some non-homeless dumbass who blocks my driveway and makes it where I can't leave for work or whatever. I find it hilarious that attacking the homeless is what otherwise intelligent people see as the only purpose of this app.
1,this doesnt even deserve one star.
5,WOW! Looks like the organized effort by Emerald City Antifa is in full effect here trying to collapse a once beautiful city to instate totalitarian Bolshevism. You can thank Twitter for allowing Emerald City Antifa to communicate to its members to flood this app with one stars and intentionally misleading camp sites and problems to make life impossible for the tax payers. They have also organized an effort to remove benches around the city. It's all on their Twitter Feed take a look for yourself
5,Clean up the filth
1,"This is a garbage app and if you support it, you are a garbage person."
1,"""report a tent"" is disgusting. help the homeless ppl, don't make their situations any harder. you should be ashamed of your selfs for having that feature"
1,This app is for snitches and it's an embarrassing red flag for a city that claims to be progressive let alone care about its citizens.
1,stop blaming homeless people for being homeless
5,Great app I've used many times for effective results. I've gotten a bunch of potholes fixed and out street lights replaced. MUCH simpler than hunting through multiple agencies to figure out where to report sone issue.
1,disgusting. whoever developed this needs to take a professional ethics class.
1,"I hope they're not just taking away tents from the homeless.I hope they are getting them the help they actually need or deserve. A lot of homeless are either mentally ill, down on their luck, or didn't get a decent deck of cards in life. If they have a problem with sanitation and safety then offer homeless people to help clean up the city and pay them for it or offer housing for it."
1,Niflhel awaits!
4,To everyone coming to this page angry about signs that suggested using this app to report homeless tents: there is no option in this app for that problem. Some NIMBY jerk posted those signs but that's not what this app is for.
5,Clearly around 7/21 Seattle's social justice warriors discovered the app and don't like it when people report the truth. These are the people that are the cause of many of the City's problem. Lock up the drug addicts. This is not Venezuela. We have laws and they should be enforced.
1,"""Out of sight, out of mind"" should never be applied to people. disgusting."
1,The poster for this app basically calls homeless people living in tents INHUMANE. This is a sickening app. I would rate this 0 stars.
1,"If homeless people can be allowed to sleep, that would be appreciated"
1,"Gosh would be a shame if people reported non existent tents in your dipshit police state app, wouldn't it?"
1,Why deal with a problem when we can move it somewhere else? Thanks for making this app to show us our Seattle officials care more about taking away human rights instead of giving them.
1,use it to report things in other states...where there are no tents.
5,Great app for triggering leftists and their faux outrage!
5,"This app is fantastic. Prior to installing it, when I saw homeless people, I really had no recourse and they'd just continue being homeless. With this app, I can report inhumane living conditions and the city presumably sends in a team of expert humanitarians to assist the homeless by removing their belongings and issuing them a fine to help elevate them out of poverty!"
1,"Terrible app! Instead of wasting money on an expensive app to snitch on homeless people just trying to survive, they could have spent it on housing for them. But I doubt helping our most vulnerable people was ever the intention with this app."
